Benchmark started.
Connection established
Adding initial posts 
Initial posts added, 103.53453588485718
{'db': 'test_perf', 'collections': 1, 'views': 0, 'objects': 100000, 'avgObjSize': 1086.0, 'dataSize': 108600000, 'storageSize': 31621120, 'numExtents': 0, 'indexes': 1, 'indexSize': 909312, 'fileSize': 0, 'nsSizeMB': 0, 'ok': 1}
2018-05-25 14:20:30.529967, 0.0, started, Thread-0, aws-100000-5

2018-05-25 14:20:30.541567, 0.0, started, Thread-1, aws-100000-5

2018-05-25 14:20:30.560153, 0.0, started, Thread-2, aws-100000-5

2018-05-25 14:20:30.579305, 0.0, started, Thread-3, aws-100000-5

2018-05-25 14:20:30.595529, 0.0, started, Thread-4, aws-100000-5

2018-05-25 14:20:30.541912, 3.5446038246154785, upvote, Thread-1, aws-100000-5

2018-05-25 14:20:30.560528, 3.5403549671173096, upvote, Thread-2, aws-100000-5

2018-05-25 14:20:34.111366, 0.5891890525817871, upvote, Thread-2, aws-100000-5

2018-05-25 14:20:30.530298, 4.585364103317261, read, Thread-0, aws-100000-5

2018-05-25 14:20:30.579645, 4.568021297454834, read, Thread-3, aws-100000-5

2018-05-25 14:20:30.595908, 4.551891565322876, read, Thread-4, aws-100000-5

2018-05-25 14:20:34.097004, 1.6173138618469238, read, Thread-1, aws-100000-5

2018-05-25 14:20:35.126194, 0.6003243923187256, upvote, Thread-0, aws-100000-5

2018-05-25 14:20:35.158242, 0.5907604694366455, upvote, Thread-3, aws-100000-5

2018-05-25 14:20:34.711062, 1.6173346042633057, read, Thread-2, aws-100000-5

2018-05-25 14:20:35.158872, 1.617095947265625, read, Thread-4, aws-100000-5

2018-05-25 14:20:35.724816, 1.618427038192749, comment, Thread-1, aws-100000-5

2018-05-25 14:20:35.736956, 1.6173555850982666, read, Thread-0, aws-100000-5

2018-05-25 14:20:35.759709, 1.6169166564941406, read, Thread-3, aws-100000-5

2018-05-25 14:20:36.786421, 0.5910875797271729, upvote, Thread-4, aws-100000-5

2018-05-25 14:20:37.353766, 0.5894453525543213, upvote, Thread-1, aws-100000-5

2018-05-25 14:20:36.338871, 1.6172821521759033, read, Thread-2, aws-100000-5

2018-05-25 14:20:37.387946, 0.5893259048461914, upvote, Thread-4, aws-100000-5

2018-05-25 14:20:37.987707, 0.5895180702209473, upvote, Thread-4, aws-100000-5

2018-05-25 14:20:37.364781, 1.61724853515625, read, Thread-0, aws-100000-5

2018-05-25 14:20:37.387081, 1.6171174049377441, read, Thread-3, aws-100000-5

2018-05-25 14:20:37.953918, 1.6172873973846436, read, Thread-1, aws-100000-5

2018-05-25 14:20:37.966755, 1.616870641708374, read, Thread-2, aws-100000-5

2018-05-25 14:20:39.581829, 0.5896944999694824, upvote, Thread-1, aws-100000-5

2018-05-25 14:20:38.587696, 1.61729097366333, read, Thread-4, aws-100000-5

2018-05-25 14:20:38.992796, 1.6171903610229492, read, Thread-0, aws-100000-5

2018-05-25 14:20:39.014694, 1.617295265197754, read, Thread-3, aws-100000-5

2018-05-25 14:20:39.594166, 1.6171984672546387, read, Thread-2, aws-100000-5

2018-05-25 14:20:40.642689, 0.5894651412963867, upvote, Thread-3, aws-100000-5

2018-05-25 14:20:40.182031, 1.6174895763397217, read, Thread-1, aws-100000-5

2018-05-25 14:20:40.215718, 1.6171927452087402, read, Thread-4, aws-100000-5

2018-05-25 14:20:40.620499, 1.6172757148742676, read, Thread-0, aws-100000-5

2018-05-25 14:20:41.843457, 0.5894129276275635, upvote, Thread-4, aws-100000-5

2018-05-25 14:20:41.222109, 1.6175954341888428, read, Thread-2, aws-100000-5

2018-05-25 14:20:41.242898, 1.617276906967163, read, Thread-3, aws-100000-5

2018-05-25 14:20:41.810070, 1.6174023151397705, read, Thread-1, aws-100000-5

2018-05-25 14:20:42.850310, 0.5894007682800293, upvote, Thread-2, aws-100000-5

2018-05-25 14:20:42.248259, 1.6172070503234863, read, Thread-0, aws-100000-5

2018-05-25 14:20:42.443382, 1.6171152591705322, read, Thread-4, aws-100000-5

2018-05-25 14:20:42.870739, 1.617440938949585, read, Thread-3, aws-100000-5

2018-05-25 14:20:43.437954, 1.6172876358032227, read, Thread-1, aws-100000-5

2018-05-25 14:20:43.450144, 1.6168110370635986, read, Thread-2, aws-100000-5

2018-05-25 14:20:43.875982, 1.6174509525299072, read, Thread-0, aws-100000-5

2018-05-25 14:20:45.065765, 0.5894501209259033, upvote, Thread-1, aws-100000-5

