Benchmark started.
Connection established
Adding initial posts 
Initial posts added, 76.17871713638306
{'db': 'test_perf', 'collections': 1, 'views': 0, 'objects': 300000, 'avgObjSize': 1086.0, 'dataSize': 325800000, 'storageSize': 94801920, 'numExtents': 0, 'indexes': 1, 'indexSize': 2748416, 'fileSize': 0, 'nsSizeMB': 0, 'ok': 1}
2018-05-25 14:57:45.090531, 0.0, started, Thread-0, aws-300000-5

2018-05-25 14:57:45.101822, 0.0, started, Thread-1, aws-300000-5

2018-05-25 14:57:45.120864, 0.0, started, Thread-2, aws-300000-5

2018-05-25 14:57:45.138123, 0.0, started, Thread-3, aws-300000-5

2018-05-25 14:57:45.153503, 0.0, started, Thread-4, aws-300000-5

2018-05-25 14:57:45.102234, 4.584129571914673, read, Thread-1, aws-300000-5

2018-05-25 14:57:45.121144, 4.572683572769165, read, Thread-2, aws-300000-5

2018-05-25 14:57:45.090874, 4.609832525253296, read, Thread-0, aws-300000-5

2018-05-25 14:57:45.138416, 4.569300651550293, read, Thread-3, aws-300000-5

2018-05-25 14:57:45.153823, 4.557891368865967, read, Thread-4, aws-300000-5

2018-05-25 14:57:49.696812, 0.5915279388427734, upvote, Thread-1, aws-300000-5

2018-05-25 14:57:49.704406, 0.5908520221710205, upvote, Thread-2, aws-300000-5

2018-05-25 14:57:49.711191, 1.6175727844238281, read, Thread-0, aws-300000-5

2018-05-25 14:57:49.718185, 1.6170074939727783, read, Thread-3, aws-300000-5

2018-05-25 14:57:49.722182, 1.6175405979156494, read, Thread-4, aws-300000-5

2018-05-25 14:57:50.298825, 1.6172873973846436, read, Thread-1, aws-300000-5

2018-05-25 14:57:50.305743, 1.6170001029968262, read, Thread-2, aws-300000-5

2018-05-25 14:57:51.339222, 0.590996265411377, upvote, Thread-0, aws-300000-5

2018-05-25 14:57:51.933199, 0.5893378257751465, upvote, Thread-2, aws-300000-5

2018-05-25 14:57:51.345699, 1.617293119430542, read, Thread-3, aws-300000-5

2018-05-25 14:57:51.350181, 1.6168389320373535, read, Thread-4, aws-300000-5

2018-05-25 14:57:52.533288, 0.589479923248291, upvote, Thread-2, aws-300000-5

2018-05-25 14:57:51.926550, 1.6170663833618164, read, Thread-1, aws-300000-5

2018-05-25 14:57:51.940984, 1.6168720722198486, read, Thread-0, aws-300000-5

2018-05-25 14:57:53.133268, 0.58925461769104, upvote, Thread-2, aws-300000-5

2018-05-25 14:57:53.554059, 0.5893895626068115, upvote, Thread-1, aws-300000-5

2018-05-25 14:57:52.973603, 1.617079734802246, read, Thread-3, aws-300000-5

2018-05-25 14:57:52.977703, 1.6167867183685303, read, Thread-4, aws-300000-5

2018-05-25 14:57:54.154089, 0.5894572734832764, upvote, Thread-1, aws-300000-5

2018-05-25 14:57:53.568380, 1.6182138919830322, comment, Thread-0, aws-300000-5

2018-05-25 14:57:54.601130, 0.5910115242004395, upvote, Thread-3, aws-300000-5

2018-05-25 14:57:53.733107, 1.6170616149902344, read, Thread-2, aws-300000-5

2018-05-25 14:57:55.360829, 0.5893070697784424, upvote, Thread-2, aws-300000-5

2018-05-25 14:57:54.604925, 1.6171019077301025, read, Thread-4, aws-300000-5

