Benchmark started.
Connection established
Initial posts added. 362.41374373435974
{'db': 'test_perf', 'collections': 1, 'views': 0, 'objects': 1000000, 'avgObjSize': 1086.0, 'dataSize': 1086000000.0, 'storageSize': 1073594368.0, 'numExtents': 0, 'indexes': 1, 'indexSize': 9617408.0, 'fsUsedSize': 168740970496.0, 'fsTotalSize': 494586032128.0, 'ok': 1.0}
2018-05-16 11:50:10.110057, 0.0, started, Thread-0, windows-1000000-5
2018-05-16 11:50:10.127570, 0.0, started, Thread-1, windows-1000000-5
2018-05-16 11:50:10.130070, 0.0, started, Thread-2, windows-1000000-5
2018-05-16 11:50:10.135573, 0.0, started, Thread-3, windows-1000000-5
2018-05-16 11:50:10.138575, 0.0, started, Thread-4, windows-1000000-5
2018-05-16 11:50:10.125067, 0.07699275016784668, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.212565, 0.0010006427764892578, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.224073, 0.0010001659393310547, upvote, Thread-0, windows-1000000-5

2018-05-16 11:50:10.128069, 0.1050107479095459, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.235580, 0.0010004043579101562, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.130570, 0.11001348495483398, read, Thread-2, windows-1000000-5

2018-05-16 11:50:10.244585, 0.0010008811950683594, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.247588, 0.0010008811950683594, upvote, Thread-0, windows-1000000-5

2018-05-16 11:50:10.136574, 0.11251568794250488, read, Thread-3, windows-1000000-5

2018-05-16 11:50:10.252094, 0.000997781753540039, read, Thread-2, windows-1000000-5

2018-05-16 11:50:10.256088, 0.0010046958923339844, comment, Thread-1, windows-1000000-5

2018-05-16 11:50:10.139076, 0.11951589584350586, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.259094, 0.001499176025390625, upvote, Thread-0, windows-1000000-5

2018-05-16 11:50:10.260095, 0.0004990100860595703, read, Thread-3, windows-1000000-5

2018-05-16 11:50:10.264099, 0.0009975433349609375, read, Thread-2, windows-1000000-5

2018-05-16 11:50:10.267534, 0.0010013580322265625, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.269535, 0.0005002021789550781, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.271543, 0.0010051727294921875, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.272047, 0.0005016326904296875, read, Thread-3, windows-1000000-5

